projection_id,pp_projection_id,player_id,pp_game_id,start_time,player,pos,team,opp_team,prop_type,line,pick_type,pp_home_team,pp_away_team,image_url
10493166,10493166,87857,136418,2026-03-16T19:00:00.000-04:00,Jalen Johnson,F,ATL,,Points,22.5,Standard,,,https://static.prizepicks.com/images/manual/JalenJohnson_headshot.png
10528570,10528570,188001,135136,2026-03-12T19:00:00.000-04:00,Paolo Banchero,F,ORL,,Fantasy Score,49.5,Demon,,,https://static.prizepicks.com/images/players/NBA/Paolo_Banchero_NBA_player_cSms4hTTjMfoXUcRKPQkTQDA.webp
10528567,10528567,271602,135136,2026-03-12T19:00:00.000-04:00,Desmond Bane,G,ORL,,Fantasy Score,43.0,Demon,,,https://static.prizepicks.com/images/players/NBA/Desmond_Bane_NBA_player_9SEjqOvpojg4UyUy0gX8SNQS.webp
10528569,10528569,53830,135136,2026-03-12T19:00:00.000-04:00,Jalen Suggs,G,ORL,,Fantasy Score,41.0,Demon,,,https://static.prizepicks.com/images/players/NBA/Jalen_Suggs_NBA_player_I7jpOaNuORX9n8iyAuZi5K2s.webp
10528582,10528582,188001,135136,2026-03-12T19:00:00.000-04:00,Paolo Banchero,F,ORL,,Fantasy Score,36.5,Goblin,,,https://static.prizepicks.com/images/players/NBA/Paolo_Banchero_NBA_player_cSms4hTTjMfoXUcRKPQkTQDA.webp
10528578,10528578,37711,135136,2026-03-12T19:00:00.000-04:00,Wendell Carter,C-F,ORL,,Fantasy Score,34.0,Demon,,,https://static.prizepicks.com/images/players/NBA/Wendell_Carter_NBA_player_D8fHvKLdHu6fJ37Fbvf4voGd.webp
10528588,10528588,217304,135136,2026-03-12T19:00:00.000-04:00,Alex Sarr,C,WAS,,Fantasy Score,33.5,Demon,,,https://static.prizepicks.com/images/players/NBA/Alex_Sarr_NBA_player_iVX5K46A4U7vdUFPdEae3RXs.webp
10528574,10528574,271602,135136,2026-03-12T19:00:00.000-04:00,Desmond Bane,G,ORL,,Fantasy Score,31.0,Goblin,,,https://static.prizepicks.com/images/players/NBA/Desmond_Bane_NBA_player_9SEjqOvpojg4UyUy0gX8SNQS.webp
10528599,10528599,304617,135136,2026-03-12T19:00:00.000-04:00,Trae Young,G,WAS,,Fantasy Score,30.5,Demon,,,https://static.prizepicks.com/images/manual/Trae_YoungWAS.png
10528572,10528572,218628,135136,2026-03-12T19:00:00.000-04:00,Tristan Silva,F,ORL,,Fantasy Score,29.0,Demon,,,https://static.prizepicks.com/images/players/NBA/Tristan_Da_Silva_NBA_player_P4N0KaXAPN3h5k1IVKetUs5m.webp
10528580,10528580,53830,135136,2026-03-12T19:00:00.000-04:00,Jalen Suggs,G,ORL,,Fantasy Score,29.0,Goblin,,,https://static.prizepicks.com/images/players/NBA/Jalen_Suggs_NBA_player_I7jpOaNuORX9n8iyAuZi5K2s.webp
10528583,10528583,175142,135136,2026-03-12T19:00:00.000-04:00,Bilal Coulibaly,G,WAS,,Fantasy Score,29.0,Demon,,,https://static.prizepicks.com/images/players/NBA/Bilal_Coulibaly_NBA_player_f5LWHMnZBsHakrCtOOdjKlYr.webp
10528596,10528596,284883,135136,2026-03-12T19:00:00.000-04:00,Will Riley,F,WAS,,Fantasy Score,28.0,Demon,,,https://static.prizepicks.com/images/players/NBA/Will_Riley_NBA_player_i958pZUF5ADJdpTh5BxYK01R.webp
10528601,10528601,271616,135136,2026-03-12T19:00:00.000-04:00,Tre Johnson,G,WAS,,Fantasy Score,25.0,Demon,,,https://static.prizepicks.com/images/manual/Tre Johnson.png
10528589,10528589,37711,135136,2026-03-12T19:00:00.000-04:00,Wendell Carter,C-F,ORL,,Fantasy Score,23.0,Goblin,,,https://static.prizepicks.com/images/players/NBA/Wendell_Carter_NBA_player_D8fHvKLdHu6fJ37Fbvf4voGd.webp
10528576,10528576,217304,135136,2026-03-12T19:00:00.000-04:00,Alex Sarr,C,WAS,,Fantasy Score,22.5,Goblin,,,https://static.prizepicks.com/images/players/NBA/Alex_Sarr_NBA_player_iVX5K46A4U7vdUFPdEae3RXs.webp
10528591,10528591,304617,135136,2026-03-12T19:00:00.000-04:00,Trae Young,G,WAS,,Fantasy Score,19.5,Goblin,,,https://static.prizepicks.com/images/manual/Trae_YoungWAS.png
10528581,10528581,218628,135136,2026-03-12T19:00:00.000-04:00,Tristan Silva,F,ORL,,Fantasy Score,19.0,Goblin,,,https://static.prizepicks.com/images/players/NBA/Tristan_Da_Silva_NBA_player_P4N0KaXAPN3h5k1IVKetUs5m.webp
