proj_id,player_id,cbb_player_key,player,player_norm,team_abbr,opp_team_abbr,pp_team,pp_opp_team,pos,prop_type,prop_norm,pick_type,line,start_time,pp_game_id,league_id,team,stat_type,odds_type,team_id,espn_athlete_id,status
9985133,301622,gus yalden|UVM,Gus Yalden,gus yalden,UVM,UMBC,UVM,UMBC,F,Points,pts,Standard,15.5,2026-02-19T18:00:00.000-05:00,128578,20,UVM,Points,standard,261,,NO_ATHLETE_MATCH
9985135,126384,tj hurley|UVM,TJ Hurley,tj hurley,UVM,UMBC,UVM,UMBC,G,Points,pts,Standard,15.0,2026-02-19T18:00:00.000-05:00,128578,20,UVM,Points,standard,261,,NO_ATHLETE_MATCH
9985130,285758,dj armstrong|UMBC,DJ Armstrong,dj armstrong,UMBC,UVM,UMBC,UVM,G-F,Points,pts,Standard,12.5,2026-02-19T18:00:00.000-05:00,128578,20,UMBC,Points,standard,2378,,NO_ATHLETE_MATCH
9985131,285760,jah likai king|UMBC,Jah'Likai King,jah likai king,UMBC,UVM,UMBC,UVM,G,Points,pts,Standard,12.5,2026-02-19T18:00:00.000-05:00,128578,20,UMBC,Points,standard,2378,,NO_ATHLETE_MATCH
9985128,301619,ace valentine|UMBC,Ace Valentine,ace valentine,UMBC,UVM,UMBC,UVM,G,Points,pts,Standard,11.0,2026-02-19T18:00:00.000-05:00,128578,20,UMBC,Points,standard,2378,,NO_ATHLETE_MATCH
9985129,301620,caden diggs|UMBC,Caden Diggs,caden diggs,UMBC,UVM,UMBC,UVM,F,Points,pts,Standard,11.0,2026-02-19T18:00:00.000-05:00,128578,20,UMBC,Points,standard,2378,,NO_ATHLETE_MATCH
9985134,301623,sean blake|UVM,Sean Blake,sean blake,UVM,UMBC,UVM,UMBC,G,Points,pts,Standard,10.0,2026-02-19T18:00:00.000-05:00,128578,20,UVM,Points,standard,261,,NO_ATHLETE_MATCH
9985136,177495,tj long|UVM,TJ Long,tj long,UVM,UMBC,UVM,UMBC,G,Points,pts,Standard,9.5,2026-02-19T18:00:00.000-05:00,128578,20,UVM,Points,standard,261,,NO_ATHLETE_MATCH
9985132,301621,josh odunowo|UMBC,Josh Odunowo,josh odunowo,UMBC,UVM,UMBC,UVM,F,Points,pts,Standard,8.0,2026-02-19T18:00:00.000-05:00,128578,20,UMBC,Points,standard,2378,,NO_ATHLETE_MATCH
9985139,301622,gus yalden|UVM,Gus Yalden,gus yalden,UVM,UMBC,UVM,UMBC,F,Rebounds,reb,Standard,6.0,2026-02-19T18:00:00.000-05:00,128578,20,UVM,Rebounds,standard,261,,NO_ATHLETE_MATCH
9985138,301621,josh odunowo|UMBC,Josh Odunowo,josh odunowo,UMBC,UVM,UMBC,UVM,F,Rebounds,reb,Standard,5.0,2026-02-19T18:00:00.000-05:00,128578,20,UMBC,Rebounds,standard,2378,,NO_ATHLETE_MATCH
9985141,177495,tj long|UVM,TJ Long,tj long,UVM,UMBC,UVM,UMBC,G,Rebounds,reb,Standard,5.0,2026-02-19T18:00:00.000-05:00,128578,20,UVM,Rebounds,standard,261,,NO_ATHLETE_MATCH
9985140,301623,sean blake|UVM,Sean Blake,sean blake,UVM,UMBC,UVM,UMBC,G,Rebounds,reb,Standard,4.5,2026-02-19T18:00:00.000-05:00,128578,20,UVM,Rebounds,standard,261,,NO_ATHLETE_MATCH
9985137,301623,sean blake|UVM,Sean Blake,sean blake,UVM,UMBC,UVM,UMBC,G,Assists,ast,Standard,4.0,2026-02-19T18:00:00.000-05:00,128578,20,UVM,Assists,standard,261,,NO_ATHLETE_MATCH
9987587,279010,sincere parker|MEM,Sincere Parker,sincere parker,MEM,USF,MEM,USF,G,Pts+Rebs+Asts,pra,Standard,21.5,2026-02-19T19:00:00.000-05:00,128583,20,MEM,Pts+Rebs+Asts,standard,235,,NO_ATHLETE_MATCH
9986710,278348,aaron bradshaw|MEM,Aaron Bradshaw,aaron bradshaw,MEM,USF,MEM,USF,F,Points,pts,Standard,10.0,2026-02-19T19:00:00.000-05:00,128583,20,MEM,Points,standard,235,,NO_ATHLETE_MATCH
9987650,279010,sincere parker|MEM,Sincere Parker,sincere parker,MEM,USF,MEM,USF,G,Rebs+Asts,ra,Standard,5.5,2026-02-19T19:00:00.000-05:00,128583,20,MEM,Rebs+Asts,standard,235,,NO_ATHLETE_MATCH
9986760,278349,dug mcdaniel|MEM,Dug McDaniel,dug mcdaniel,MEM,USF,MEM,USF,G,Assists,ast,Standard,4.0,2026-02-19T19:00:00.000-05:00,128583,20,MEM,Assists,standard,235,,NO_ATHLETE_MATCH
9987924,281155,izaiyah nelson|USF,Izaiyah Nelson,izaiyah nelson,USF,MEM,USF,MEM,F,Fantasy Score,fantasy,Standard,33.0,2026-02-19T19:00:00.000-05:00,128583,20,USF,Fantasy Score,standard,58,,NO_ATHLETE_MATCH
9987637,296284,wes enis|USF,Wes Enis,wes enis,USF,MEM,USF,MEM,G,Pts+Rebs+Asts,pra,Demon,27.5,2026-02-19T19:00:00.000-05:00,128583,20,USF,Pts+Rebs+Asts,demon,58,,NO_ATHLETE_MATCH
9987962,279010,sincere parker|MEM,Sincere Parker,sincere parker,MEM,USF,MEM,USF,G,Pts+Rebs+Asts,pra,Demon,26.5,2026-02-19T19:00:00.000-05:00,128583,20,MEM,Pts+Rebs+Asts,demon,235,,NO_ATHLETE_MATCH
9989188,226787,cj brown|USF,CJ Brown,cj brown,USF,MEM,USF,MEM,G,Pts+Rebs+Asts,pra,Demon,26.5,2026-02-19T19:00:00.000-05:00,128583,20,USF,Pts+Rebs+Asts,demon,58,,NO_ATHLETE_MATCH
9987609,281156,joseph pinion|USF,Joseph Pinion,joseph pinion,USF,MEM,USF,MEM,G,Pts+Rebs+Asts,pra,Demon,25.5,2026-02-19T19:00:00.000-05:00,128583,20,USF,Pts+Rebs+Asts,demon,58,,NO_ATHLETE_MATCH
9987639,296284,wes enis|USF,Wes Enis,wes enis,USF,MEM,USF,MEM,G,Pts+Rebs+Asts,pra,Demon,25.5,2026-02-19T19:00:00.000-05:00,128583,20,USF,Pts+Rebs+Asts,demon,58,,NO_ATHLETE_MATCH
9987925,296284,wes enis|USF,Wes Enis,wes enis,USF,MEM,USF,MEM,G,Fantasy Score,fantasy,Standard,25.5,2026-02-19T19:00:00.000-05:00,128583,20,USF,Fantasy Score,standard,58,,NO_ATHLETE_MATCH
9991172,281155,izaiyah nelson|USF,Izaiyah Nelson,izaiyah nelson,USF,MEM,USF,MEM,F,Pts+Rebs+Asts,pra,Goblin,25.5,2026-02-19T19:00:00.000-05:00,128583,20,USF,Pts+Rebs+Asts,goblin,58,,NO_ATHLETE_MATCH
9987961,279010,sincere parker|MEM,Sincere Parker,sincere parker,MEM,USF,MEM,USF,G,Pts+Rebs+Asts,pra,Demon,24.5,2026-02-19T19:00:00.000-05:00,128583,20,MEM,Pts+Rebs+Asts,demon,235,,NO_ATHLETE_MATCH
9989186,226787,cj brown|USF,CJ Brown,cj brown,USF,MEM,USF,MEM,G,Pts+Rebs+Asts,pra,Demon,24.5,2026-02-19T19:00:00.000-05:00,128583,20,USF,Pts+Rebs+Asts,demon,58,,NO_ATHLETE_MATCH
9987923,279010,sincere parker|MEM,Sincere Parker,sincere parker,MEM,USF,MEM,USF,G,Fantasy Score,fantasy,Standard,24.0,2026-02-19T19:00:00.000-05:00,128583,20,MEM,Fantasy Score,standard,235,,NO_ATHLETE_MATCH
9987608,281156,joseph pinion|USF,Joseph Pinion,joseph pinion,USF,MEM,USF,MEM,G,Pts+Rebs+Asts,pra,Demon,23.5,2026-02-19T19:00:00.000-05:00,128583,20,USF,Pts+Rebs+Asts,demon,58,,NO_ATHLETE_MATCH
9987641,296284,wes enis|USF,Wes Enis,wes enis,USF,MEM,USF,MEM,G,Pts+Rebs+Asts,pra,Standard,23.5,2026-02-19T19:00:00.000-05:00,128583,20,USF,Pts+Rebs+Asts,standard,58,,NO_ATHLETE_MATCH
